k,zip_code,county,market_tier,region_bucket,urban_core_flag,actual_price,predicted_price,error_pct,confidence_score,status
3,75778,henderson,mid,dfw,0,233447.0,265533.64,13.74,0.84,OK
3,75783,wood,mid,dfw,0,242343.0,240827.26,0.63,0.84,OK
3,75784,cherokee,mid,dfw,0,220947.0,229943.59,4.07,0.84,OK
3,75785,cherokee,mid,dfw,0,206125.0,218489.24,6.0,0.89,OK
3,75789,smith,mid,dfw,0,271353.0,230070.26,15.21,0.86,OK
3,75790,van zandt,mid,dfw,0,230623.0,230202.58,0.18,0.86,OK
3,75791,smith,mid,dfw,0,284490.0,340640.6,19.74,0.82,OK
3,75792,smith,mid,dfw,0,224838.0,246765.68,9.75,0.84,OK
3,75801,anderson,low,dfw,0,173214.0,169581.21,2.1,0.86,OK
3,75803,anderson,mid,dfw,0,210263.0,226218.31,7.59,0.86,OK
3,75831,leon,mid,dfw,0,285613.0,330140.99,15.59,0.87,OK
3,75833,leon,mid,dfw,0,284813.0,251149.54,11.82,0.86,OK
3,75835,houston,low,dfw,0,172718.0,174220.67,0.87,0.86,OK
3,75838,freestone,mid,dfw,0,265505.0,305013.34,14.88,0.82,OK
3,75839,anderson,mid,dfw,0,242599.0,258842.55,6.7,0.87,OK
3,75840,freestone,mid,dfw,0,218429.0,224931.03,2.98,0.87,OK
3,75844,houston,mid,dfw,0,235615.0,238857.35,1.38,0.89,OK
3,75845,trinity,mid,dfw,0,205467.0,217715.44,5.96,0.88,OK
3,75846,leon,mid,dfw,0,272127.0,271142.57,0.36,0.83,OK
3,75847,houston,mid,dfw,0,225110.0,250261.08,11.17,0.85,OK
3,75851,houston,mid,dfw,0,268886.0,278333.41,3.51,0.82,OK
3,75852,madison,mid,dfw,0,322376.0,289681.82,10.14,0.88,OK
3,75853,anderson,mid,dfw,0,359569.0,297395.23,17.29,0.81,OK
3,75855,leon,mid,dfw,0,279535.0,261961.74,6.29,0.82,OK
3,75859,freestone,mid,dfw,0,371758.0,307486.27,17.29,0.83,OK
3,75860,freestone,mid,dfw,0,187356.0,203039.23,8.37,0.83,OK
3,75861,anderson,mid,dfw,0,311770.0,271410.82,12.95,0.78,OK
3,75862,trinity,low,dfw,0,163834.0,189476.1,15.65,0.84,OK
3,75901,angelina,mid,dfw,0,189142.0,206268.98,9.06,0.68,OK
3,75904,angelina,mid,dfw,0,201827.0,222526.67,10.26,0.87,OK
3,75925,cherokee,mid,dfw,0,211809.0,227118.51,7.23,0.82,OK
3,75926,trinity,mid,dfw,0,229035.0,214793.52,6.22,0.89,OK
3,75929,san augustine,mid,dfw,0,199352.0,203518.94,2.09,0.88,OK
3,75930,sabine,mid,dfw,0,177136.0,193013.9,8.96,0.84,OK
3,75931,sabine,mid,dfw,0,266811.0,301045.75,12.83,0.78,OK
3,75932,newton,mid,dfw,0,195877.0,182284.87,6.94,0.83,OK
3,75933,newton,low,dfw,0,127933.0,165049.76,29.01,0.88,OK
3,75935,shelby,mid,dfw,0,202631.0,239415.97,18.15,0.85,OK
3,75936,tyler,mid,dfw,0,184186.0,190153.61,3.24,0.87,OK
3,75937,nacogdoches,mid,dfw,0,188499.0,173983.02,7.7,0.84,OK
3,75938,tyler,low,dfw,0,171492.0,175401.67,2.28,0.82,OK
3,75939,polk,low,dfw,0,146238.0,166785.74,14.05,0.87,OK
3,75941,angelina,low,dfw,0,174459.0,183906.21,5.42,0.88,OK
3,75943,nacogdoches,mid,dfw,0,272107.0,288696.2,6.1,0.8,OK
3,75944,nacogdoches,mid,dfw,0,178161.0,181081.85,1.64,0.84,OK
3,75946,nacogdoches,mid,dfw,0,220630.0,254879.76,15.52,0.85,OK
3,75948,sabine,mid,dfw,0,209737.0,239925.46,14.39,0.86,OK
3,75949,angelina,mid,dfw,0,211764.0,223659.74,5.62,0.84,OK
3,75951,jasper,low,dfw,0,163676.0,181707.7,11.02,0.89,OK
3,75954,shelby,mid,dfw,0,217746.0,260054.44,19.43,0.84,OK
3,75956,jasper,low,dfw,0,168823.0,175393.91,3.89,0.85,OK
3,75959,sabine,mid,dfw,0,224919.0,231668.67,3.0,0.79,OK
3,75960,polk,low,dfw,0,160249.0,177852.61,10.99,0.82,OK
3,75961,nacogdoches,mid,dfw,0,187625.0,185387.11,1.19,0.85,OK
3,75964,nacogdoches,mid,dfw,0,183457.0,203029.44,10.67,0.86,OK
3,75965,nacogdoches,mid,dfw,0,273415.0,236262.65,13.59,0.82,OK
3,75966,newton,low,dfw,0,130177.0,154260.66,18.5,0.85,OK
3,75968,sabine,low,dfw,0,174819.0,202882.48,16.05,0.89,OK
3,75969,angelina,mid,dfw,0,218691.0,242070.54,10.69,0.84,OK
3,75972,san augustine,low,dfw,0,171037.0,163751.37,4.26,0.87,OK
3,75973,shelby,mid,dfw,0,232542.0,267009.27,14.82,0.87,OK
3,75974,shelby,mid,dfw,0,223683.0,228045.16,1.95,0.84,OK
3,75975,shelby,mid,dfw,0,252072.0,275247.3,9.19,0.89,OK
3,75976,cherokee,mid,dfw,0,175969.0,187375.61,6.48,0.84,OK
