zip_code,county,latitude,longitude,avg_property_value,median_income,median_rent,population_change_pct,owner_share_pct,zhvi_1y_change_pct,zhvi_5y_change_pct,price_to_rent_ratio,listing_count,average_sqft,market_tier,region_bucket,urban_core_flag
79562,taylor,32.236251,-99.866451,382400,103814,0,9.9,89.2,4.09,32.58,0,0,0,mid,WestTexas,0
79563,taylor,32.415823,-99.90623,114689,56548,0,-9.7,87.7,-13.98,0.64,0,0,0,low,WestTexas,0
79565,mitchell,32.378574,-101.102996,137590,120781,0,-3.8,88.2,4.33,0,0,0,0,low,WestTexas,0
79567,runnels,31.988595,-99.97707,98091,49663,0,-4.6,71.1,12.51,0.51,0,0,0,low,WestTexas,0
79601,taylor,32.572842,-99.642121,201216,54515,1796,1.2,45.8,5.78,34.08,9.34,0,0,mid,WestTexas,0
79602,taylor,32.335677,-99.667488,256416,84845,2028,0.4,76.8,3.63,30.38,10.54,0,0,mid,WestTexas,0
79603,taylor,32.333551,-99.927724,135115,53579,1525,-1.3,57.5,-2.47,24.43,7.38,0,0,low,WestTexas,0
79605,taylor,32.434599,-99.781827,166492,59565,1504,-2.5,57.5,3.0,27.09,9.22,0,0,low,WestTexas,0
79606,taylor,32.362767,-99.817334,291084,83201,2161,5.9,56.6,5.46,31.92,11.22,0,0,mid,WestTexas,0
79701,midland,31.992446,-102.080985,215746,57679,1673,-2.8,64.7,2.67,14.49,10.75,0,0,mid,WestTexas,0
79703,midland,31.98001,-102.131551,238301,80281,1467,-3.7,65.8,1.66,15.42,13.54,0,0,mid,WestTexas,0
79705,midland,32.096064,-102.050039,349010,105106,1609,8.2,71.6,2.88,15.63,18.08,0,0,mid,WestTexas,0
79706,midland,31.846958,-101.969455,375569,110988,1951,0.2,82.8,1.59,10.84,16.04,0,0,mid,WestTexas,0
79707,midland,32.037441,-102.195196,413445,99979,1517,1.4,59.7,2.62,16.43,22.71,0,0,high,WestTexas,0
79714,andrews,32.312258,-102.640206,254857,76902,0,0.8,76.3,7.03,15.03,0,0,0,mid,WestTexas,0
79720,howard,32.199985,-101.504819,138187,71194,1207,-5.8,68.2,3.43,-17.93,9.54,0,0,low,WestTexas,0
79731,crane,31.435697,-102.581722,194429,60650,0,-1.6,80.4,3.84,10.66,0,0,0,mid,WestTexas,0
79734,jeff davis,30.68216,-103.980976,210363,39375,0,-13.1,88.9,-9.58,-5.82,0,0,0,mid,WestTexas,0
79735,pecos,30.786235,-102.851189,154565,69902,0,-0.7,70.8,-2.33,-18.11,0,0,0,low,WestTexas,0
79739,glasscock,31.769325,-101.506391,263024,118906,0,-8.2,60.9,-5.58,0,0,0,0,mid,WestTexas,0
79745,winkler,31.832862,-103.054925,123626,88365,0,-6.1,85.0,-0.48,-11.11,0,0,0,low,WestTexas,0
79756,ward,31.534771,-102.877409,188186,70924,0,-0.8,76.6,1.01,-11.29,0,0,0,mid,WestTexas,0
79758,ector,32.013098,-102.327298,380180,120721,0,1.1,86.8,4.2,14.9,0,0,0,mid,WestTexas,0
79761,ector,31.855583,-102.348437,207805,69279,1257,-4.1,57.1,5.85,11.44,13.78,0,0,mid,WestTexas,0
79762,ector,31.925286,-102.357886,259372,74560,1549,1.2,57.3,5.81,17.43,13.95,0,0,mid,WestTexas,0
79763,ector,31.81292,-102.454612,210705,57618,0,-3.0,71.3,5.02,7.84,0,0,0,mid,WestTexas,0
79764,ector,31.876762,-102.473341,226265,68367,0,3.5,68.5,2.96,5.12,0,0,0,mid,WestTexas,0
79765,ector,31.896597,-102.262897,330554,100844,1869,13.7,61.1,4.54,10.13,14.74,0,0,mid,WestTexas,0
79766,ector,31.71573,-102.375828,274990,70965,0,-9.4,80.4,-5.06,-1.11,0,0,0,mid,WestTexas,0
